id,title,productImgSrc,detailImgSrc,amount,originalAmount,sale,categoryId,createdAt,updatedAt
37,"돗자리. 앉으면 내땅",public/image/product/big/37.jpg,public/image/product/detail/37.jpg,3000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
38,"맨투맨. 헐",public/image/product/big/38.jpg,public/image/product/detail/38.jpg,38000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
39,"미니카드. 굿",public/image/product/big/39.jpg,public/image/product/detail/39.jpg,1500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
40,"지우개. 내 번호 지우지마",public/image/product/big/40.jpg,public/image/product/detail/40.jpg,1500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
41,"양말. 내짝은 어디에",public/image/product/big/41.jpg,public/image/product/detail/41.jpg,3500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
42,"양말. 왼발오른발",public/image/product/big/42.jpg,public/image/product/detail/42.jpg,3500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
43,"파일. 팀장님 짱짱맨",public/image/product/big/43.jpg,public/image/product/detail/43.jpg,1500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
44,미니노트세트(5개입),public/image/product/big/44.jpg,public/image/product/detail/44.jpg,4500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
45,"링노트. 이끌든지 따르든지 비키든지",public/image/product/big/45.jpg,public/image/product/detail/45.jpg,2000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
46,"링노트. 청소를 안하면",public/image/product/big/46.jpg,public/image/product/detail/46.jpg,2000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
47,"링노트. 헐",public/image/product/big/47.jpg,public/image/product/detail/47.jpg,2000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
48,"링노트. 오늘 먹을 치킨",public/image/product/big/48.jpg,public/image/product/detail/48.jpg,2000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
49,"링노트. 못해솔로",public/image/product/big/49.jpg,public/image/product/detail/49.jpg,2000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
50,"여권케이스. 여행하기 좋은여건 (블랙)",public/image/product/big/50.jpg,public/image/product/detail/50.jpg,12000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
51,"목베개. 여기목좋아요",public/image/product/big/51.jpg,public/image/product/detail/51.jpg,12000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
52,"네임택. 찜 (블랙)",public/image/product/big/52.jpg,public/image/product/detail/52.jpg,4500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
53,"부채. 수동바람 태풍바람",public/image/product/big/53.jpg,public/image/product/detail/53.jpg,4500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
54,"부채. 힘에부침 셀프냉방",public/image/product/big/54.jpg,public/image/product/detail/54.jpg,4500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
55,"안대. 깨우면안대",public/image/product/big/55.jpg,public/image/product/detail/55.jpg,4500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
56,"연필. 흑심있어요",public/image/product/big/56.jpg,public/image/product/detail/56.jpg,1000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
57,"맨투맨. 헐 블랙",public/image/product/big/57.jpg,public/image/product/detail/57.jpg,38000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
58,"미니카드. 효도하자",public/image/product/big/58.jpg,public/image/product/detail/58.jpg,1500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
59,"엽서. 청소를 안하면",public/image/product/big/59.jpg,public/image/product/detail/59.jpg,1000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
60,"엽서. 굿(원형)",public/image/product/big/60.jpg,public/image/product/detail/60.jpg,1000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
61,"엽서. 오늘먹을치킨을",public/image/product/big/61.jpg,public/image/product/detail/61.jpg,1000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
62,"비치볼. 나잡아봐라",public/image/product/big/62.jpg,public/image/product/detail/62.jpg,1000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
63,"튜브. 니가 자꾸 떠올라",public/image/product/big/63.jpg,public/image/product/detail/63.jpg,1000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
64,"방수팩. 방수모드",public/image/product/big/64.jpg,public/image/product/detail/64.jpg,5500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
65,"지퍼백. 닦고자자",public/image/product/big/65.jpg,public/image/product/detail/65.jpg,5500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
66,"미니선풍기. 나의작은바람",public/image/product/big/66.jpg,public/image/product/detail/66.jpg,4500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
67,"비치타월. 누가나좀말려줘요",public/image/product/big/67.jpg,public/image/product/detail/67.jpg,4500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
68,"접기 편한 돗자리. 앉으면내땅",public/image/product/big/68.jpg,public/image/product/detail/68.jpg,8000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
69,"포켓 돗자리. 앉으면내땅",public/image/product/big/69.jpg,public/image/product/detail/69.jpg,15900,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
70,"지퍼백. 청소를안하면",public/image/product/big/70.jpg,public/image/product/detail/70.jpg,15900,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
71,"지퍼백. 씻고자자",public/image/product/big/71.jpg,public/image/product/detail/71.jpg,15900,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
72,"엽서. 축",public/image/product/big/72.jpg,public/image/product/detail/72.jpg,1000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
73,"돈봉투. 감사",public/image/product/big/73.jpg,public/image/product/detail/73.jpg,2500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
74,"엽서. 굿",public/image/product/big/74.jpg,public/image/product/detail/74.jpg,1000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
75,"엽서. 복",public/image/product/big/75.jpg,public/image/product/detail/75.jpg,1000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
76,"에코백. 난너의든든한빽 (블랙)",public/image/product/big/76.jpg,public/image/product/detail/76.jpg,15000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
77,"맥주잔. 비워도다시한번",public/image/product/big/77.jpg,public/image/product/detail/77.jpg,15000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
78,"CU X 배달의민족. 흔드는 핫팩",public/image/product/big/78.jpg,public/image/product/detail/78.jpg,15000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
79,"CU X 배달의민족. 붙이는 핫팩",public/image/product/big/79.jpg,public/image/product/detail/79.jpg,15000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
80,"(구.) 컴퓨터싸인펜. 오늘이 전설이 될 것이다",public/image/product/big/80.jpg,public/image/product/detail/80.jpg,1000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
81,"2017 일력. 365일 잘먹고 잘살자",public/image/product/big/81.jpg,public/image/product/detail/81.jpg,1000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
82,"스티커. 취급주의",public/image/product/big/82.jpg,public/image/product/detail/82.jpg,1500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
83,열쇠고리.헐,public/image/product/big/83.jpg,public/image/product/detail/83.jpg,1500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
84,"USB. 이런십육기가",public/image/product/big/84.jpg,public/image/product/detail/84.jpg,1500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
85,"레터링시트지. 지켜보고 있다",public/image/product/big/85.jpg,public/image/product/detail/85.jpg,4000,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
86,"박스테이프. 두근두근",public/image/product/big/86.jpg,public/image/product/detail/86.jpg,4500,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
87,"파티픽 세트",public/image/product/big/87.jpg,public/image/product/detail/87.jpg,2500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
88,"축구공. 뻥",public/image/product/big/88.jpg,public/image/product/detail/88.jpg,2500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
